product_name,category,price,product_id
Whey Protein,Protein,31.98,1
Vitamin C,Vitamin,42.51,2
Fish Oil,Omega,12.91,3
Multivitamin,Vitamin,16.07,4
Pre-Workout,Performance,35.47,5
BCAA,Amino Acid,41.19,6
Creatine,Performance,32.49,7
Zinc,Mineral,46.68,8
Collagen Peptides,Protein,10.96,9
Magnesium,Mineral,20.76,10
Ashwagandha,Herbal,15.49,11
Melatonin,Sleep Aid,34.41,12
Biotin,Vitamin,28.79,13
Green Tea Extract,Fat Burner,31.88,14
Iron Supplement,Mineral,42.97,15
Electrolyte Powder,Hydration,35.92,16
Whey Protein,Protein,12.08,17
Vitamin C,Vitamin,10.61,18
Fish Oil,Omega,27.49,19
Multivitamin,Vitamin,14.92,20
Pre-Workout,Performance,14.11,21
BCAA,Amino Acid,29.1,22
Creatine,Performance,42.2,23
Zinc,Mineral,47.4,24
Collagen Peptides,Protein,56.4,25
Magnesium,Mineral,40.65,26
Ashwagandha,Herbal,54.35,27
Melatonin,Sleep Aid,33.03,28
Biotin,Vitamin,18.87,29
Green Tea Extract,Fat Burner,18.24,30
Iron Supplement,Mineral,35.29,31
Electrolyte Powder,Hydration,35.42,32
Whey Protein,Protein,41.81,33
Vitamin C,Vitamin,22.33,34
Fish Oil,Omega,50.0,35
Multivitamin,Vitamin,19.4,36
Pre-Workout,Performance,48.05,37
BCAA,Amino Acid,17.44,38
Creatine,Performance,54.31,39
Zinc,Mineral,10.16,40
Collagen Peptides,Protein,39.41,41
Magnesium,Mineral,38.07,42
Ashwagandha,Herbal,23.49,43
Melatonin,Sleep Aid,26.71,44
Biotin,Vitamin,32.01,45
Green Tea Extract,Fat Burner,21.03,46
Iron Supplement,Mineral,41.81,47
Electrolyte Powder,Hydration,29.19,48
Whey Protein,Protein,26.73,49
Vitamin C,Vitamin,35.9,50
Fish Oil,Omega,53.64,51
Multivitamin,Vitamin,34.15,52
Pre-Workout,Performance,31.84,53
BCAA,Amino Acid,16.77,54
Creatine,Performance,12.85,55
Zinc,Mineral,47.97,56
Collagen Peptides,Protein,11.68,57
Magnesium,Mineral,30.55,58
Ashwagandha,Herbal,30.94,59
Melatonin,Sleep Aid,38.27,60
Biotin,Vitamin,15.7,61
Green Tea Extract,Fat Burner,38.06,62
Iron Supplement,Mineral,13.38,63
Electrolyte Powder,Hydration,34.23,64
Whey Protein,Protein,33.11,65
Vitamin C,Vitamin,35.63,66
Fish Oil,Omega,18.24,67
Multivitamin,Vitamin,53.89,68
Pre-Workout,Performance,59.25,69
