date,product_id,location_id,platform_id,units_sold,revenue,units_returned,return_rate,discount,year,month,year_month
2020-01-06,1,1,1,143,4573.14,2,0.013986013986013986,0.03,2020,1,2020-01
2020-01-06,2,2,2,139,5908.89,0,0.0,0.04,2020,1,2020-01
2020-01-06,3,1,2,161,2078.51,0,0.0,0.25,2020,1,2020-01
2020-01-06,4,1,1,140,2249.8,0,0.0,0.08,2020,1,2020-01
2020-01-06,5,1,3,157,5568.79,3,0.01910828025477707,0.25,2020,1,2020-01
2020-01-06,6,2,1,154,6343.26,1,0.006493506493506494,0.13,2020,1,2020-01
2020-01-06,7,2,1,134,4353.66,1,0.007462686567164179,0.05,2020,1,2020-01
2020-01-06,8,1,2,147,6861.96,0,0.0,0.19,2020,1,2020-01
2020-01-06,9,3,2,147,1611.12,2,0.013605442176870748,0.06,2020,1,2020-01
2020-01-06,10,1,2,134,2781.84,0,0.0,0.0,2020,1,2020-01
2020-01-06,11,3,2,181,2803.69,1,0.0055248618784530384,0.14,2020,1,2020-01
2020-01-06,12,3,1,164,5643.24,1,0.006097560975609756,0.04,2020,1,2020-01
2020-01-06,13,2,3,159,4577.61,1,0.006289308176100629,0.1,2020,1,2020-01
2020-01-06,14,2,1,143,4558.84,3,0.02097902097902098,0.06,2020,1,2020-01
2020-01-06,15,1,3,149,6402.53,2,0.013422818791946308,0.22,2020,1,2020-01
2020-01-06,16,3,2,154,5531.68,2,0.012987012987012988,0.04,2020,1,2020-01
2020-01-13,17,2,2,150,1812.0,2,0.013333333333333334,0.02,2020,1,2020-01
2020-01-13,18,3,2,128,1358.08,2,0.015625,0.24,2020,1,2020-01
2020-01-13,19,3,1,145,3986.05,2,0.013793103448275862,0.19,2020,1,2020-01
2020-01-13,20,3,2,137,2044.04,2,0.014598540145985401,0.17,2020,1,2020-01
2020-01-13,21,1,3,141,1989.51,1,0.0070921985815602835,0.24,2020,1,2020-01
2020-01-13,22,1,2,160,4656.0,0,0.0,0.05,2020,1,2020-01
2020-01-13,23,2,1,154,6498.8,0,0.0,0.13,2020,1,2020-01
2020-01-13,24,3,2,154,7299.6,2,0.012987012987012988,0.2,2020,1,2020-01
2020-01-13,25,1,3,134,7557.6,1,0.007462686567164179,0.06,2020,1,2020-01
2020-01-13,26,2,2,148,6016.2,1,0.006756756756756757,0.24,2020,1,2020-01
